#timestamp x y z q_x q_y q_z q_w
1710569235.628433 0.002461459603235 0.000288974331155 -0.007276081523965 0.000116488396186 -0.000060658731229 0.000071863048413 0.999999988793337
1710569235.728575 0.001679588956640 -0.001596196633121 -0.006542057849672 -0.000000638824036 -0.000047024432208 0.000061413155091 0.999999997008359
1710569235.827746 0.003748113849071 -0.000111706828480 -0.002131341720940 -0.000179610297877 0.000055020012535 0.000176207583280 0.999999966831912
1710569235.929078 0.001872793492885 -0.000327529544887 -0.004252481877794 0.000034569542863 -0.000392411895724 0.000055206215616 0.999999920885058
1710569236.029095 0.002421421531543 -0.000842878116643 -0.004083338694115 0.000034995924424 -0.000103614853472 0.000137976616273 0.999999984500849
1710569236.128603 0.002307485793032 -0.000969580928728 -0.001084672703221 -0.000124556659878 -0.000072317382753 0.000040114544537 0.999999988823328
1710569236.228101 0.003284339144505 -0.001520906730415 -0.003037033430381 -0.000035795032994 0.000093411634780 0.000058472507901 0.999999993286972
1710569236.327571 0.002856608039724 -0.000993433786731 -0.003216381990923 -0.000189054740728 -0.000027079609426 0.000121502322688 0.999999974381090
1710569236.428363 0.003920935039365 -0.000481454309644 -0.004504599037275 -0.000224095930899 0.000040040774933 0.000097183250556 0.999999969366580
1710569236.528594 0.003564449128976 0.000398168147573 -0.004527975515902 -0.000279621804889 -0.000037820882849 0.000174176293293 0.999999945021918
1710569236.626718 0.001560942634075 -0.000108582134498 -0.005211208255158 -0.000162939218671 -0.000293761077906 0.000051408394616 0.999999942256204
1710569236.727757 0.003175517605841 -0.000755401827276 -0.005804835305822 -0.000107320111653 -0.000042911712106 0.000134816285429 0.999999984232771
1710569236.827680 0.003064776910062 -0.000607775110023 -0.004124701273374 -0.000151946960816 -0.000124308414521 0.000102943004187 0.999999975431135
1710569236.927536 0.002895071002787 -0.000470265713117 -0.003856025133092 -0.000189546086047 -0.000045574130940 0.000125256210482 0.999999973153076
